Nome antigo (como está no CP);Nome oficial;Tipo;Grupo;Observação
Pagamento de Emprestimos;Pagamento de Empréstimos;Outra;Empréstimos / financeiro;Unificar
Pagamento de Empréstimos;Pagamento de Empréstimos;Outra;Empréstimos / financeiro;
Juros de Emprestimos;Juros de Empréstimos;Outra;Empréstimos / financeiro;Unificar
Juros de Empréstimos;Juros de Empréstimos;Outra;Empréstimos / financeiro;
COMPRA DE ATIVOS OU EQUIPAMENTOS;Compra de Ativos ou Equipamentos;Outra;Investimento;Padronizar
Compra de Ativos ou Equipamentos;Compra de Ativos ou Equipamentos;Outra;Investimento;
2.4.1 — Retiradas Geraldo;Retiradas Geraldo;Outra;Sócio;Unificar
Retiradas Geraldo;Retiradas Geraldo;Outra;Sócio;
2.4.2 — Retiradas Geraldinho;Retiradas Geraldinho;Outra;Sócio;Unificar
Retiradas Geraldinho;Retiradas Geraldinho;Outra;Sócio;
10 — Outros;Outros (verificar);Outra;A conferir;Unificar
Outro ( verificar );Outros (verificar);Outra;A conferir;Unificar
Outros (verificar);Outros (verificar);Outra;A conferir;
teste;Lixo teste;Outra;A conferir;Identificar depois
x;Lixo x;Outra;A conferir;Identificar depois
Devolução de Mercadorias;Outros (verificar);Outra;A conferir;Removido do plano oficial — revisar títulos se existirem
